aid,title,reporting,commitment,spend,currency
XM-DAC-701-8-2013955822,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),11,9,USD
XM-DAC-41114-OUTPUT-00057078,Support - Resident Coordinator,United Nations Development Programme,3,0,USD
SE-0-SE-6-7810005001-IND-25010,SME India,"Sweden, through Swedish International Development Cooperation Agency (Sida)",0,0,USD
SE-0-SE-6-4100272301-IND-91010,IND-SAK-08 Social sectors - Lön,"Sweden, through Swedish International Development Cooperation Agency (Sida)",0,0,USD
SE-0-SE-6-4310002001-IND-15162,Ravi Nair,"Sweden, through Swedish International Development Cooperation Agency (Sida)",0,0,USD
SE-0-SE-6-7100028101-IND-32130,IND Economic coop study,"Sweden, through Swedish International Development Cooperation Agency (Sida)",0,0,USD
SE-0-SE-6-7400175701-IND-72010,"MSC; Flooding, Orissa 01","Sweden, through Swedish International Development Cooperation Agency (Sida)",0,0,USD
US-8-IN-30-AID-386-G-13-00008,N/A,United States,0,0,USD
41122-India-2040%2FDM%2F01%2F001%2F001,INDIA COUNTRY PROGRAMME 2003 - 2007,United Nations Children's Fund (UNICEF),0,26287,USD
1994940094,Frame Agreement with NGO (World Vision),Finland - Ministry of Foreign Affairs,0,0,USD
2002023690,NGO Support / AIDS control in Mumbai,Finland - Ministry of Foreign Affairs,0,39857,USD
2004043010,Particulate air pollution project in India,Finland - Ministry of Foreign Affairs,0,132859,USD
2007070169,NGO Support / Integrating Health Services into the Public Health System,Finland - Ministry of Foreign Affairs,0,109883,USD
2007070226,Frame agreement with NGO (Fida Int.),Finland - Ministry of Foreign Affairs,0,84678,USD
2007070227,Frame agreement with NGO (Fida Int.),Finland - Ministry of Foreign Affairs,0,125152,USD
2008080097,Dali Education,Finland - Ministry of Foreign Affairs,0,170706,USD
2008080296,Frame agreement with NGO (Plan Finland),Finland - Ministry of Foreign Affairs,0,52029,USD
2008080369,Frame agreement with NGO (Fida Int.),Finland - Ministry of Foreign Affairs,0,228484,USD
2008080370,Frame agreement with NGO (Fida Int.),Finland - Ministry of Foreign Affairs,0,0,USD
2008080376,Frame Agreement with NGO (World Vision),Finland - Ministry of Foreign Affairs,0,0,USD
2009091295,Village Community Empowerment Phase II,Finland - Ministry of Foreign Affairs,0,57999,USD
2009091298,Biogas for enhanced quality of life,Finland - Ministry of Foreign Affairs,0,156047,USD
2010100078,Community Based women leadership programme,Finland - Ministry of Foreign Affairs,0,14694,USD
2010100162,SUPPORTING SUSTAINABLE VILLAGE DEVELOPMENT IN SUB-HIMALAYAN REGION OF INDIA - Phase II,Finland - Ministry of Foreign Affairs,0,34118,USD
2010100453,Local Cooperation Fund (LCF) in India,Finland - Ministry of Foreign Affairs,0,35060,USD
2010100609,Frame agreement with NGO (Fida Int.),Finland - Ministry of Foreign Affairs,0,211630,USD
2010100635,Frame agreement with NGO (Pelastakaa lapset),Finland - Ministry of Foreign Affairs,0,0,USD
2010100675,Frame agreement with NGO (SASK),Finland - Ministry of Foreign Affairs,0,114800,USD
2011110105,Promoting Integrated Healthcare in Thar (PIHT),Finland - Ministry of Foreign Affairs,0,53675,USD
2011110106,WBI national innovation capacity building,Finland - Ministry of Foreign Affairs,0,353855,USD
2011110107,IN/Educational and cultural establishment for tamangs of West Bengal,Finland - Ministry of Foreign Affairs,0,30705,USD
2011110108,Traditional system of medicine for community health,Finland - Ministry of Foreign Affairs,0,80668,USD
2011110109,IN/Building for Emission Measurements,Finland - Ministry of Foreign Affairs,0,167736,USD
2011112058,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112063,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112069,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,24482,USD
2011112086,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112090,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112095,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,9722,USD
2011112107,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112120,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112130,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,20279,USD
2011112137,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,43122,USD
2011112142,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,5612,USD
2011112149,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,35165,USD
2011112167,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112169,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112187,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,26626,USD
2011112191,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,23920,USD
2011112206,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011112212,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,20797,USD
2011112215,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,23109,USD
2011112227,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2011115030,Frame agreement with NGO (SASK),Finland - Ministry of Foreign Affairs,0,0,USD
2011115037,Frame agreement with NGO (SASK),Finland - Ministry of Foreign Affairs,0,0,USD
2011115038,Frame agreement with NGO (SASK),Finland - Ministry of Foreign Affairs,0,0,USD
2011115067,Frame Agreement with NGO (World Vision),Finland - Ministry of Foreign Affairs,0,8140,USD
2011115220,Local Cooperation Fund (LCF) in India,Finland - Ministry of Foreign Affairs,0,7748,USD
2011115221,Local Cooperation Fund (LCF) in India,Finland - Ministry of Foreign Affairs,0,0,USD
2011115222,Local Cooperation Fund (LCF) in India,Finland - Ministry of Foreign Affairs,0,64572,USD
2012000274,Lifeline for Commercial Sex Workers/West Bengal India,Finland - Ministry of Foreign Affairs,0,29221,USD
2012000276,Community Center,Finland - Ministry of Foreign Affairs,0,26571,USD
2012000277,Strengthening Youth Friendly Health Services Through Community-Based Interventions in Rural India,Finland - Ministry of Foreign Affairs,0,118017,USD
2012122004,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2012122006,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,13913,USD
2012122012,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,5611,USD
2012122014,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2012122020,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,899,USD
2012122028,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2012122037,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,13158,USD
2012122069,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,0,USD
2012125009,ODA equity through Finnfund,Finland - Ministry of Foreign Affairs,0,0,USD
2013130244,Dalit Artisans' Empowerment Project in Haltipada,Finland - Ministry of Foreign Affairs,0,59211,USD
2013130246,Gudri Entrepreneurship Training  to Women,Finland - Ministry of Foreign Affairs,0,64539,USD
2013130247,Rehabilitation and Construction project in Leh Old Town,Finland - Ministry of Foreign Affairs,0,137,USD
2013130544,Frame agreement with NGO (SASK),Finland - Ministry of Foreign Affairs,0,9864,USD
2013130553,Frame agreement with NGO (Pelastakaa lapset),Finland - Ministry of Foreign Affairs,0,269728,USD
2013130920,Business linkage programme (Finnpartnership),Finland - Ministry of Foreign Affairs,0,31350,USD
2014140220,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,4275,USD
2014140221,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,5742,USD
2014140222,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,6165,USD
2014140223,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,3609,USD
2014140245,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,5846,USD
2014140267,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,2771,USD
2014140326,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,2774,USD
2014140467,Frame Agreement with NGO (ABILIS foundation),Finland - Ministry of Foreign Affairs,0,35114,USD
2014140527,Frame Agreement with NGO (Foundation for Human Rights/KIOS),Finland - Ministry of Foreign Affairs,0,8976,USD
2014140531,Frame Agreement with NGO (Foundation for Human Rights/KIOS),Finland - Ministry of Foreign Affairs,0,61037,USD
2014140550,Frame Agreement with NGO (Foundation for Human Rights/KIOS),Finland - Ministry of Foreign Affairs,0,67363,USD
2014140553,Frame Agreement with NGO (Foundation for Human Rights/KIOS),Finland - Ministry of Foreign Affairs,0,23478,USD
2014141154,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,117143,USD
2014141155,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,14797,USD
2014141159,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,12330,USD
2014141160,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,7398,USD
2014141162,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141163,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141164,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,21209,USD
2014141165,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141166,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,21209,USD
2014141167,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141168,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141169,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141170,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141171,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,21209,USD
2014141172,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141173,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141174,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141175,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141176,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141177,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,7398,USD
2014141179,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,12330,USD
2014141182,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,7275,USD
2014141183,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,16215,USD
2014141184,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,8878,USD
2014141185,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141186,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,22195,USD
2014141187,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,11097,USD
2014141189,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,12330,USD
2014141190,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,6535,USD
2014141191,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,5918,USD
2014141192,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,23428,USD
2014141198,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,4685,USD
2014141201,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,28977,USD
2014141205,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,7891,USD
2014141213,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,24661,USD
2014141221,Frame agreement with NGO (Siemenpuu),Finland - Ministry of Foreign Affairs,0,9248,USD
21032-3934,Universal Access to DR TB Control Services,Population Service International,0,4729932,USD
21032-3979,CHAI- ORS/Zinc MP,Population Service International,0,342401,USD
21032-3990,Tobacco Control Law,Population Service International,0,213938,USD
21032-4009,India IRH Market Validation,Population Service International,0,38858,USD
21032-4034,21032-4034,Population Service International,0,249906,USD
21032-4046,Gate FSM,Population Service International,0,340572,USD
21032-4072,Preventing Gender Based Violence,Population Service International,0,1547626,USD
21032-4099,India Pure it,Population Service International,0,1748,USD
21032-4101,India Unilever Pure it,Population Service International,0,748,USD
21032-4120,Condom Social Marketing - Gujarat,Population Service International,0,465550,USD
21032-4121,21032-4121,Population Service International,0,524225,USD
21032-4122,21032-4122,Population Service International,0,1135375,USD
21032-4123,Condom Social Marketing - Odisha,Population Service International,0,412692,USD
21032-4124,Condom Social Marketing - Rajasthan,Population Service International,0,552861,USD
21032-4125,Condom Social Marketing - West Bengal,Population Service International,0,660141,USD
21032-4149,Access to Arsenic Free Drinking Water,Population Service International,0,5406,USD
21032-4151,Expanding ACTwatch to include FP,Population Service International,0,1140613,USD
21032-4163,Broaden Method Choice in Uttar Pradesh,Population Service International,0,766280,USD
21032-4212,School of 5 Handwashing,Population Service International,0,22343,USD
21032-4213,Domex Toilet Academy,Population Service International,0,2761,USD
21032-4228,Responding to GBV,Population Service International,0,25148,USD
30001-,NF Indonesia IYCN,The Global Alliance for Improved Nutrition,0,312666,USD
30001-11GL04,FF Global Gates 120M IN,The Global Alliance for Improved Nutrition,0,383843,USD
30001-11GL04-IN,FF Global Gates 120M IN,The Global Alliance for Improved Nutrition,0,636322,USD
30001-11IN01-IN,FF India New Intervention IN,The Global Alliance for Improved Nutrition,0,57238,USD
30001-11IN02,FF India Rajasthan IPS PD,The Global Alliance for Improved Nutrition,0,581836,USD
30001-11IN02-PD,FF India Rajasthan IPS PD,The Global Alliance for Improved Nutrition,0,1160252,USD
30001-11IN03-IN,FF India Naandi II IN,The Global Alliance for Improved Nutrition,0,83813,USD
30001-11IN04,FF India Bihar/MP PD,The Global Alliance for Improved Nutrition,0,381190,USD
30001-11IN04-PD,FF India Bihar/MP PD,The Global Alliance for Improved Nutrition,0,436586,USD
30001-11IN05,FF India MSSRF Community Hunger Fighters PD,The Global Alliance for Improved Nutrition,0,2864,USD
30001-11IN05-PD,FF India MSSRF Community Hunger Fighters PD,The Global Alliance for Improved Nutrition,0,17426,USD
30001-11IN06,FF India CADAM PD,The Global Alliance for Improved Nutrition,0,151431,USD
30001-11IN06-PD,FF India CADAM PD,The Global Alliance for Improved Nutrition,0,329704,USD
30001-11IN07,FF India  MLR,The Global Alliance for Improved Nutrition,0,0,USD
30001-11IN07-ML,FF India  MLR,The Global Alliance for Improved Nutrition,0,44036,USD
30001-11IN08,FF India MP oil MLR,The Global Alliance for Improved Nutrition,0,308740,USD
30001-11IN08-ML,FF India MP oil MLR,The Global Alliance for Improved Nutrition,0,168574,USD
30001-11IN08-PD,FF India MP oil PD,The Global Alliance for Improved Nutrition,0,636284,USD
30001-11IN09-IN,FF India Capacity Building for school meal fortification IN,The Global Alliance for Improved Nutrition,0,315,USD
30001-11IN10-IN,FF India - Southern India Oil design IN,The Global Alliance for Improved Nutrition,0,3516,USD
30001-11IN11,FF India Food Fortification Advocacy PD,The Global Alliance for Improved Nutrition,0,185898,USD
30001-11IN11-PD,FF India Food Fortification Advocacy PD,The Global Alliance for Improved Nutrition,0,173129,USD
30001-11IN12,FF India National Oil PD,The Global Alliance for Improved Nutrition,0,454121,USD
30001-11IN12-PD,FF India National Oil PD,The Global Alliance for Improved Nutrition,0,86885,USD
30001-11IN13,FF India Naandi HUNGaMA PD,The Global Alliance for Improved Nutrition,0,-62,USD
30001-11IN13-PD,FF India Naandi HUNGaMA PD,The Global Alliance for Improved Nutrition,0,151773,USD
30001-11IN14,FF India RAJASTHAN CMAM PROJECT IN,The Global Alliance for Improved Nutrition,0,3854,USD
30001-12GL01,USI Global IN,The Global Alliance for Improved Nutrition,0,391646,USD
30001-12GL01-IN,USI Global IN,The Global Alliance for Improved Nutrition,0,805012,USD
30001-12GL01-ML,USI Global  MLR,The Global Alliance for Improved Nutrition,0,391835,USD
30001-12GL02-ML,USI Global MLR,The Global Alliance for Improved Nutrition,0,7664,USD
30001-12GL03,USI Global GiveWell USI IN,The Global Alliance for Improved Nutrition,0,89386,USD
30001-12IN01,USI India IN,The Global Alliance for Improved Nutrition,0,436810,USD
30001-12IN01-IN,USI India IN,The Global Alliance for Improved Nutrition,0,535804,USD
30001-12IN01-ML,USI India  MLR,The Global Alliance for Improved Nutrition,0,110139,USD
30001-20GL11,MNS Global GBSN cross-Project Evaluation MLR,The Global Alliance for Improved Nutrition,0,-4354,USD
30001-20GL11-ML,MSI Global GBSN cross-Project Evaluation MLR,The Global Alliance for Improved Nutrition,0,193798,USD
30001-20IN01,MNS India LNS IN,The Global Alliance for Improved Nutrition,0,4646,USD
30001-20IN01-IN,MSI India LNS AP Foods Manufacturing IN,The Global Alliance for Improved Nutrition,0,1407,USD
30001-20IN02-ML,NF India Rajasthan MLR,The Global Alliance for Improved Nutrition,0,16718,USD
30001-20IN03-ML,NF India Andra Pradesh MLR,The Global Alliance for Improved Nutrition,0,12500,USD
30001-20IN04-PD,India New Potential Integrated Program PD,The Global Alliance for Improved Nutrition,0,9640,USD
30001-30GL01-IN,NF Global Acumen Fund IN,The Global Alliance for Improved Nutrition,0,99882,USD
30001-30IN01,NF India WFP PD,The Global Alliance for Improved Nutrition,0,46232,USD
30001-30IN01-PD,NF India WFP PD,The Global Alliance for Improved Nutrition,0,218153,USD
30001-30IN02,NF India AP Foods MLR,The Global Alliance for Improved Nutrition,0,113847,USD
30001-30IN02-ML,NF India AP Foods MLR,The Global Alliance for Improved Nutrition,0,129062,USD
30001-30IN02-PD,NF India AP Foods PD,The Global Alliance for Improved Nutrition,0,238095,USD
30001-30IN03-ML,NF India PHFI Gujarat MLR,The Global Alliance for Improved Nutrition,0,677,USD
30001-30IN03-PD,NF India PHFI Gujarat PD,The Global Alliance for Improved Nutrition,0,19,USD
30001-30IN04,NF India Bihar PD,The Global Alliance for Improved Nutrition,0,174603,USD
30001-30IN04-IN,NF India Bihar IN,The Global Alliance for Improved Nutrition,0,27,USD
30001-30IN04-PD,NF India Bihar PD,The Global Alliance for Improved Nutrition,0,278553,USD
30001-30IN06,NF India Uttar Pradesh PD,The Global Alliance for Improved Nutrition,0,31655,USD
30001-30IN06-IN,NF India Uttar Pradesh IN,The Global Alliance for Improved Nutrition,0,3581,USD
30001-30IN06-PD,NF India Uttar Pradesh PD,The Global Alliance for Improved Nutrition,0,361396,USD
30001-30IN07,NF India Making it Happen Phase 2,The Global Alliance for Improved Nutrition,0,220550,USD
30001-30IN07-PD,NF India Making it Happen Phase 2,The Global Alliance for Improved Nutrition,0,296138,USD
30001-30IN08,NF India Bestseller IN,The Global Alliance for Improved Nutrition,0,34170,USD
30001-40IN01,AGNUT India IN,The Global Alliance for Improved Nutrition,0,5687,USD
30001-40IN01-IN,AGNUT India IN,The Global Alliance for Improved Nutrition,0,74623,USD
30001-40IN02-IN,AGNUT India CII Consultations IN,The Global Alliance for Improved Nutrition,0,1734,USD
30001-50GL01,NW Global BPNR IN,The Global Alliance for Improved Nutrition,0,288174,USD
30001-50GL01-SP,NW GL. Unilever Gherkins India-Pepper Vietnam SP,The Global Alliance for Improved Nutrition,0,3256,USD
30001-50GL04-IN,NW Global Cash crops IN,The Global Alliance for Improved Nutrition,0,459179,USD
30001-92GL01,NA Global Rest of World,The Global Alliance for Improved Nutrition,0,0,USD
30001-92GL01-NA,NA Global Rest of World,The Global Alliance for Improved Nutrition,0,76,USD
30001-92IN01,NA India,The Global Alliance for Improved Nutrition,0,0,USD
30001-92IN01-NA,NA India,The Global Alliance for Improved Nutrition,0,22792,USD
30001-92IN02-NA,NA India DFID,The Global Alliance for Improved Nutrition,0,15690,USD
30001-93GL05,GA Global Regional Adv Asia,The Global Alliance for Improved Nutrition,0,0,USD
4111241021,Strategic Note and Annual Work Plan India,UN Women,0,0,USD
4111241023,Strategic Note and Annual Work Plan Asia Pacific,UN Women,0,0,USD
4111241026,"Strategic Note and Annual Work Plan India and MCO (Bhutan, Sri Lanka, Maldives)",UN Women,0,0,USD
41120-1750,"Water And Sanitation Trust Fund - Basf Social Foundation Contribution For Watsan Education In Mangalore, India.",UN-Habitat,0,159406,USD
41120-2548,Support My School Campaign In South Asian Countries,UN-Habitat,0,485592,USD
41120-2813,Implementation Of Support My School Campaign In India,UN-Habitat,0,12639,USD
41120-788,"Post-Tsunami Water And Sanitation Reconstruction In Cuddalore, India",UN-Habitat,0,296228,USD
41120-928,Enabling Access Of Koshi Flood Affected People To Water And Sanitation Facilities In Bihar-India And Sunsari District - Nepal,UN-Habitat,0,120298,USD
41122-India-2040%2FA0%2F04%2F800%2F062,IR83-Effective and efficient management of Human Capacity,United Nations Children's Fund (UNICEF),0,0,USD
41122-India-2040%2FA0%2F04%2F800%2F063,IR83-Effective and efficient management of Human Capacity,United Nations Children's Fund (UNICEF),0,0,USD
41122-India-2040%2FA0%2F04%2F800%2F082,IR83-Effective and efficient management of Human Capacity,United Nations Children's Fund (UNICEF),0,0,USD
41122-India-2040%2FA0%2F04%2F800%2F888,DONOT USE  -Managed by DHR,United Nations Children's Fund (UNICEF),0,-79685,USD
41122-India-2040%2FA0%2F04%2F800%2F999,Prior-Year Commitments,United Nations Children's Fund (UNICEF),0,202999,USD
41122-India-2040%2FA0%2F04%2F813%2F007,IR07-Improved quality and coverage of immunisation among children and pregnant women,United Nations Children's Fund (UNICEF),0,368250,USD
41122-India-2040%2FA0%2F04%2F813%2F017,"FOR DATA MIGRATION: IR17-The 107 block plan reduces the risk factors, identified for polio eradicati",United Nations Children's Fund (UNICEF),0,2071,USD
41122-India-2040%2FA0%2F04%2F813%2F021,FOR DATA MIGRATION: IR21-The capacity of our partner to reduce the risks of the most vulnerable wome,United Nations Children's Fund (UNICEF),0,2563,USD
41122-India-2040%2FA0%2F04%2F813%2F073,FOR DATA MIGRATION: IR73-Families and communities have increased knowledge and positive attitudes ab,United Nations Children's Fund (UNICEF),0,4098,USD
41122-India-2040%2FA0%2F04%2F814%2F002,IR02-National and state WCD and HFW government departments can scale upa programme for improved nut,United Nations Children's Fund (UNICEF),0,462311,USD
41122-India-2040%2FA0%2F04%2F814%2F004,FOR DATA MIGRATION: IR04-National and state HFW and WCD government departments can scale up a progra,United Nations Children's Fund (UNICEF),0,156190,USD
41122-India-2040%2FA0%2F04%2F814%2F005,FOR DATA MIGRATION: IR05-National and state WCD and HFW government departments can scale up programm,United Nations Children's Fund (UNICEF),0,208190,USD
41122-India-2040%2FA0%2F04%2F814%2F006,FOR DATA MIGRATION: IR06-National and state government departments can scale up programmes to promot,United Nations Children's Fund (UNICEF),0,99270,USD
41122-India-2040%2FA0%2F04%2F814%2F014,FOR DATA MIGRATION: IR14-National and state HFW and WCD departments can roll out Village Health and,United Nations Children's Fund (UNICEF),0,18930,USD
41122-India-2040%2FA0%2F04%2F815%2F014,FOR DATA MIGRATION: IR14-National and state HFW and WCD departments can roll out Village Health and,United Nations Children's Fund (UNICEF),0,3368,USD
41122-India-2040%2FA0%2F04%2F815%2F017,"FOR DATA MIGRATION: IR17-The 107 block plan reduces the risk factors, identified for polio eradicati",United Nations Children's Fund (UNICEF),0,10121,USD
41122-India-2040%2FA0%2F04%2F815%2F020,IR20-State Governments and partners can develop and implement specific strategies targeted at accel,United Nations Children's Fund (UNICEF),0,149074,USD
41122-India-2040%2FA0%2F04%2F815%2F021,IR21-The capacity of our partner to reduce the risks of the most vulnerable women and children duri,United Nations Children's Fund (UNICEF),0,45379,USD
41122-India-2040%2FA0%2F04%2F815%2F031,IR31-States have increased capacity to undertake planning and implementation of Right to Education,United Nations Children's Fund (UNICEF),0,145315,USD
41122-India-2040%2FA0%2F04%2F815%2F034,IR34-States have increased capacity to strengthen teacher education systems,United Nations Children's Fund (UNICEF),0,124884,USD
41122-India-2040%2FA0%2F04%2F816%2F021,IR21-The capacity of our partner to reduce the risks of the most vulnerable women and children duri,United Nations Children's Fund (UNICEF),0,1792,USD
41122-India-2040%2FA0%2F04%2F816%2F052,IR52-Increased knowledge and awareness of social practices harmful to children (including child mar,United Nations Children's Fund (UNICEF),0,105906,USD
41122-India-2040%2FA0%2F04%2F817%2F021,IR21-The capacity of our partner to reduce the risks of the most vulnerable women and children duri,United Nations Children's Fund (UNICEF),0,11081,USD
41122-India-2040%2FA0%2F04%2F818%2F040,IR40-Children living with HIV  have access to quality care and treatment including EID and OI proph,United Nations Children's Fund (UNICEF),0,117602,USD
41122-India-2040%2FA0%2F04%2F818%2F041,IR41-Policy makers and service providers from NACO/ SACS / NRHM / RCH and private sector are able t,United Nations Children's Fund (UNICEF),0,102987,USD
41122-India-2040%2FA0%2F04%2F818%2F042,"IR42-By 2012, National and state governments have relevant policies, legal frameworks and effective",United Nations Children's Fund (UNICEF),0,541418,USD
41122-India-2040%2FA0%2F04%2F818%2F043,"IR43-MWCD, Other relevant ministries (MHRD, MoHFW, MoRD, MSJE, MoL etc.,), and networks of people l",United Nations Children's Fund (UNICEF),0,44983,USD
41122-India-2040%2FA0%2F04%2F819%2F062,"IR62-Strategic knowledge on MDGs, social inclusion, equity and child rights developed, documented a",United Nations Children's Fund (UNICEF),0,26082,USD
41122-India-2040%2FA0%2F04%2F819%2F063,"IR63-Government, civil society, child rights institutions and Commissions supported for acceleratin",United Nations Children's Fund (UNICEF),0,2437,USD
41122-India-2040%2FA0%2F04%2F820%2F021,IR21-The capacity of our partner to reduce the risks of the most vulnerable women and children duri,United Nations Children's Fund (UNICEF),0,359029,USD
41122-India-2040%2FA0%2F04%2F820%2F022,"IR22-Ensure coordination and collaboration between key national non-government, UN and NGO coalitio",United Nations Children's Fund (UNICEF),0,46924,USD
41122-India-2040%2FA0%2F04%2F822%2F060,IR60-Census and social sector surveys systems strengthened for filling in data gaps and improving q,United Nations Children's Fund (UNICEF),0,20876,USD
41122-India-2040%2FA0%2F04%2F822%2F061,IR61-Monitoring systems for children and women related schemes strengthened for improved equity bas,United Nations Children's Fund (UNICEF),0,77968,USD
41122-India-2040%2FA0%2F04%2F822%2F063,"IR63-Government, civil society, child rights institutions and Commissions supported for acceleratin",United Nations Children's Fund (UNICEF),0,43355,USD
41122-India-2040%2FA0%2F04%2F822%2F067,IR67-Strengthen systems to improve the processes and levels of registration of births in a few regi,United Nations Children's Fund (UNICEF),0,35661,USD
41122-India-2040%2FA0%2F04%2F823%2F014,IR14-National and state HFW and WCD departments can roll out Village Health and Nutrition Days (VHN,United Nations Children's Fund (UNICEF),0,4012,USD
41122-India-2040%2FA0%2F04%2F823%2F021,IR21-The capacity of our partner to reduce the risks of the most vulnerable women and children duri,United Nations Children's Fund (UNICEF),0,10750,USD
41122-India-2040%2FA0%2F04%2F823%2F053,"IR53-Models for addressing and preventing child labour in selected states and districts, developed",United Nations Children's Fund (UNICEF),0,161832,USD
